"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Adamantine Blackpowder Pistol","XGE","78","unknown","Weapon (Blackpowder Pistol), Advanced Weapon, Ranged Weapon","","2d4 Piercing","Ammunition (Range 20/80 ft.; Paper Cartridge Bullet), Blackpowder, Light, Loading","Mastery: Vex","4 lb.","700 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Adamantine Blackpowder Rifle","XGE","78","unknown","Weapon (Blackpowder Rifle), Advanced Weapon, Ranged Weapon","","2d6 Piercing","Ammunition (Range 80/300 ft.; Paper Cartridge Bullet), Blackpowder, Loading, Two‑Handed","Mastery: Slow","10 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Adamantine Blowgun","XGE","78","unknown","Weapon (Blowgun), Martial Weapon, Ranged Weapon","","1 Piercing","ammunition (25/100 ft.), loading","","1 lb.","510 GP","Whenever you hit an object with this weapon, the hit is a critical hit. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Adamantine Blunderbuss","XGE","78","unknown","Weapon (Blunderbuss), Advanced Weapon, Ranged Weapon","","2d6 Piercing","Ammunition (Range 30/90 ft.; Paper Cartridge Bullet), Blackpowder, Cumbersome, Loading, Two‑Handed","Mastery: Scatter (10 ft.)","10 lb.","1,250 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Cumbersome. Cumbersome weapons are difficult to wield but are effective ranged tools for those strong enough to wield them. When making an attack with a Cumbersome weapon, you must use your Strength modifier for the attack and damage rolls. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Scatter. Scatter weapons can devastate multiple enemies at once. When you take the Attack action and hit a creature with a Scatter weapon, measure the weapon's scatter range from the target's space (or one square the creature occupies if it is Large or larger). Creatures other than the original target that fall within the weapon's scatter range take damage equal to your 1 + your Dexterity modifier (minimum 2). This damage is of the same type you dealt to the original target."
"Adamantine Blunderbuss, Hand","XGE","78","unknown","Weapon (Blunderbuss, Hand), Advanced Weapon, Ranged Weapon","","2d4 Piercing","Ammunition (Range 15/60 ft.; Paper Cartridge Bullet), Blackpowder, Loading","Mastery: Scatter (5 ft.)","4 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Blackpowder. Blackpowder weapons fire projectiles with ear-splitting noise, shredding armor with deadly force. When fired, Blackpowder weapons emit a deafening crack audible 300 feet away. A Blackpowder weapon exposed to heavy rain, submerged, or similarly drenched in water, can't fire until dried for 1 hour. These weapons use paper cartridge bullets as ammunition. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Scatter. Scatter weapons can devastate multiple enemies at once. When you take the Attack action and hit a creature with a Scatter weapon, measure the weapon's scatter range from the target's space (or one square the creature occupies if it is Large or larger). Creatures other than the original target that fall within the weapon's scatter range take damage equal to your 1 + your Dexterity modifier (minimum 2). This damage is of the same type you dealt to the original target."
"Adamantine Boarding Axe","XGE","78","unknown","Weapon (Boarding Axe), Martial Weapon, Melee Weapon","","1d8 Slashing","alt. 1d8, special","","3 lb.","508 GP","The base item can be found in Humblewood Tales, page 144.Whenever you hit an object with this weapon, the hit is a critical hit. Special. This one-handed axe has a pick on the opposite end of the blade. You can choose to deal either slashing damage or piercing damage, depending on which end you use to attack. If you are proficient with axes, you can add your proficiency bonus on any checks made to climb a vertical surface when wielding it."
"Adamantine Bolt","XGE","78","unknown","Ammunition (Bolt)","","","","","1.2 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Adamantine Bullet","XGE","78","unknown","Ammunition (Bullet)","","","","","2.4 oz.","","The base item can be found in The Gunslinger Class: Valda’s Spire of Secrets.Whenever you hit an object using this ammunition, the hit is a critical hit.Ammunition is required by a weapon that has Ammunition. A weapon's description specifies the type of ammunition used by the weapon.Firearm ammunition is destroyed upon use."
"Adamantine Cannonball","XGE","78","unknown","Ammunition (Cannonball)","","","","","2 lb.","","The base item can be found in The Gunslinger Class: Valda’s Spire of Secrets.Whenever you hit an object using this ammunition, the hit is a critical hit.Ammunition is required by a weapon that has Ammunition. A weapon's description specifies the type of ammunition used by the weapon.Firearm ammunition is destroyed upon use."
"Adamantine Catchpole","XGE","78","unknown","Weapon (Catchpole), Advanced Weapon, Melee Weapon","","1d6 Piercing","Hafted, Reach, Two‑Handed","Mastery: Entangling","5 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Hafted. A Hafted weapon's haft can function well as an off-hand attack. After you use the Attack action to attack with a Hafted weapon, you can use a Bonus Action to make a melee attack with the haft. The haft deals 1d6 Bludgeoning damage, and you add your ability modifier to damage. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Entangling. When you take the Attack action on your turn and hit with an Entangling weapon, you can use a Bonus Action later on the same turn to entangle the target. The target must succeed on a Dexterity saving throw (DC 10 plus your Proficiency Bonus) or have the Grappled condition until it escapes or until you release the weapon. The target succeeds automatically if it is Huge or larger.To escape, the target must use an action to make a Strength (Athletics) or Dexterity (Acrobatics) check against the same DC. On a success, the target no longer has the Grappled condition. While a creature is Grappled by this weapon, you can't use it to attack a different creature."
"Adamantine Cavalry Flail","XGE","78","unknown","Weapon (Cavalry Flail), Advanced Weapon, Melee Weapon","","1d8 Bludgeoning","Momentum (1d12)","Mastery: Swift","3 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Momentum. Momentum weapons allow you to deliver devastating attacks as part of rapid movement. When you hit with a Momentum weapon after you moved 20 feet or more in a straight line during the same turn, upgrade the damage dice to the weapon's Momentum Dice value. Mastery: Swift. Swift weapons help you recover quickly from missed attacks. When you miss with a Swift weapon, you have Advantage on the first attack roll you make with the weapon against the same target before the end of your next turn. If that attack hits, it also deals an extra 1d4 damage of the weapon's normal damage type."
"Adamantine Cavalry Hammer","XGE","78","unknown","Weapon (Cavalry Hammer), Advanced Weapon, Melee Weapon","","1d8 Bludgeoning","Armor-Piercing, Momentum (1d12)","Mastery: Slow","3 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Armor-Piercing. An Armor-Piercing weapon is a Melee weapon designed to punch through armor or thick hide. When you make an attack roll using an Armor-Piercing weapon, you gain a +1 bonus to the attack roll if your target is wearing armor or has an Armor Class of 18 or higher. Momentum. Momentum weapons allow you to deliver devastating attacks as part of rapid movement. When you hit with a Momentum weapon after you moved 20 feet or more in a straight line during the same turn, upgrade the damage dice to the weapon's Momentum Dice value. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Adamantine Cavalry Pick","XGE","78","unknown","Weapon (Cavalry Pick), Advanced Weapon, Melee Weapon","","1d8 Piercing","Armor-Piercing, Momentum (1d12)","Mastery: Sap","3 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Armor-Piercing. An Armor-Piercing weapon is a Melee weapon designed to punch through armor or thick hide. When you make an attack roll using an Armor-Piercing weapon, you gain a +1 bonus to the attack roll if your target is wearing armor or has an Armor Class of 18 or higher. Momentum. Momentum weapons allow you to deliver devastating attacks as part of rapid movement. When you hit with a Momentum weapon after you moved 20 feet or more in a straight line during the same turn, upgrade the damage dice to the weapon's Momentum Dice value. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Adamantine Chakram","XGE","78","unknown","Weapon (Chakram), Advanced Weapon, Melee Weapon","","1d6 Slashing","Finesse, Light, Thrown (30/120 ft.)","Mastery: Returning","1 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Returning. A Returning weapon allows you to hurl the weapon in such a way that it returns to you. When you make a ranged attack with a Returning weapon, the weapon returns to you immediately after hitting or missing the target. You can catch the weapon if you have a hand free to do so."
"Adamantine Claymore","XGE","78","unknown","Weapon (Claymore), Advanced Weapon, Melee Weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Brutal","7 lb.","1,000 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 128.Whenever you hit an object with this weapon, the hit is a critical hit. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Brutal. A Brutal weapon is designed for maximum damage. Brutal weapons score Critical Hits on a natural roll of 19 or 20. If your Critical Range is already increased, instead increase it by 1 point (such as from 19-20 to 18-20).When you score a Critical Hit with a Brutal weapon against a creature, the weapon deals one additional die of damage."
"Adamantine Club","XGE","78","unknown","Weapon (Club), Simple Weapon, Melee Weapon","","1d4 Bludgeoning","light","","2 lb.","500 GP, 1 SP","Whenever you hit an object with this weapon, the hit is a critical hit. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"Adamantine Composite Longbow","XGE","78","unknown","Weapon (Composite Longbow), Advanced Weapon, Ranged Weapon","","1d8 Piercing","Ammunition (Range 200/600 ft.; Arrow), Heavy, Two‑Handed","Mastery: Strong-Draw","2 lb.","1,250 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Strong-Draw. A weapon with the Strong-Draw quality requires great strength to use. You have Disadvantage on attack rolls with a Strong-Draw weapon unless your Strength is 13 or higher. You add both your Strength and Dexterity modifiers to damage with a Strong-Draw weapon."
"Adamantine Composite Shortbow","XGE","78","unknown","Weapon (Composite Shortbow), Advanced Weapon, Ranged Weapon","","1d6 Piercing","Ammunition (Range 100/400 ft.; Arrow), Two‑Handed","Mastery: Strong-Draw","2 lb.","900 GP","The base item can be found in Grim Hollow: Player’s Guide (2024), page 129.Whenever you hit an object with this weapon, the hit is a critical hit. Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Strong-Draw. A weapon with the Strong-Draw quality requires great strength to use. You have Disadvantage on attack rolls with a Strong-Draw weapon unless your Strength is 13 or higher. You add both your Strength and Dexterity modifiers to damage with a Strong-Draw weapon."
"Adamantine Dagger","XGE","78","unknown","Weapon (Dagger), Simple Weapon, Melee Weapon","","1d4 Piercing","finesse, light, thrown (20/60 ft.)","","1 lb.","502 GP","Whenever you hit an object with this weapon, the hit is a critical hit. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
